jgap(18),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
6,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0
7,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
8,0.16666666666666666,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
9,0.16666666666666666,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555
10,0.16666666666666666,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
11,0.16666666666666666,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
12,0.16666666666666666,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
13,0.16666666666666666,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
14,0.2777777777777778,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
15,0.2777777777777778,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
16,0.2777777777777778,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.1111111111111111
17,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.1111111111111111
18,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.16666666666666666
19,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
20,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
21,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
22,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
23,0.3333333333333333,0.0,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
24,0.3333333333333333,0.0,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
25,0.3333333333333333,0.0,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
26,0.3333333333333333,0.0,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666
27,0.3333333333333333,0.0,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222
28,0.3333333333333333,0.0,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222
29,0.3333333333333333,0.0,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2777777777777778
30,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2777777777777778,0.2777777777777778
