Absolute Classe Path,P1,P2,P3,P4,P5,,
trymall\trymall-db\src\main\java\com\linfeng\db\base\BaseInterface.java,124,105,98,112,97,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\util\RedisUtils.java,511,437,465,527,516,,
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiResult.java,248,202,214,236,219,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\HomeServiceImpl.java,318,256,255,331,290,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\DiscoveryServiceImpl.java,242,247,209,231,207,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\HdkApiRequest.java,112,94,103,137,106,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\GoodsServiceImpl.java,203,215,184,216,201,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\TrymallException.java,76,68,64,80,83,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SearchServiceImpl.java,169,150,131,146,133,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\LogService.java,35,19,20,40,10,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\BrandService.java,59,51,44,54,45,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\HomeService.java,43,25,24,45,33,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSysConfigService.java,67,44,42,51,33,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\tbk\TrymallBanner.java,41,21,22,52,38,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallCourseService.java,37,37,28,53,27,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSystemMessageService.java,48,44,38,65,44,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\UploadController.java,88,81,97,91,84,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallBannerService.java,58,46,38,65,62,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\DiscoveryService.java,34,29,16,32,12,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\GoodsService.java,26,20,16,25,11,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallBannerServiceImpl.java,73,75,73,102,65,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallCourseController.java,134,108,94,89,92,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSystemMessageController.java,95,73,73,88,74,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallCourse.java,58,44,47,65,48,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallSystemMessage.java,45,26,21,50,13,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\system\Log.java,59,41,48,78,56,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\SearchService.java,25,24,13,26,10,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiBrand.java,45,33,28,37,35,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiColumn.java,47,21,24,40,38,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiDeserver.java,60,39,36,46,31,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiHot.java,47,23,21,43,19,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTalent.java,32,30,17,28,27,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTalentArticle.java,36,11,10,14,8,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiHandpick.java,36,41,30,37,22,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiNews.java,45,18,19,35,27,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiTheme.java,22,28,11,16,6,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiThemeList.java,25,30,15,26,24,,
trymall\trymall-api\src\main\java\com\linfeng\api\aspect\AppLogAspect.java,100,95,95,119,100,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsDetails.java,43,24,20,34,26,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsLike.java,50,36,34,53,50,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiGoodsRates.java,36,23,24,30,12,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiKeyword.java,32,13,16,23,9,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\request\ApiSearchGoods.java,48,43,36,51,56,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\SystemConfigService.java,30,31,20,49,28,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\tbk\TrymallSysConfig.java,53,37,39,50,31,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\LogServiceImpl.java,75,59,53,88,56,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSearchhistoryService.java,35,29,29,40,47,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallBannerController.java,107,85,77,71,78,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallSearchhistory.java,32,28,14,34,36,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSysConfigController.java,100,70,73,90,72,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\BrandController.java,82,85,63,82,68,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\QiNiuService.java,32,13,14,24,11,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallIssueService.java,53,20,29,31,32,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallCourseServiceImpl.java,82,53,50,72,41,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\listener\RedisKeyExpirationListener.java,77,71,65,72,61,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\StringUtils.java,311,294,340,418,347,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\Initial\RedisKeyInitialization.java,128,133,118,130,126,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\thread\LocalUser.java,96,88,78,101,111,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\GlobalExceptionHandler.java,329,312,331,256,280,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallIssueController.java,65,63,57,82,75,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSearchhistoryController.java,26,14,18,31,12,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\lock\RedisLock.java,201,200,221,237,206,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\listener\RedisListenerConfig.java,65,56,54,81,47,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\HomeController.java,55,42,35,38,37,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\sms\SmsUtils.java,77,62,68,74,84,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\RequestHolder.java,45,39,31,41,45,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\BadRequestException.java,61,53,41,47,33,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\FileUtil.java,568,497,450,548,538,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\DiscoveryController.java,50,37,42,65,46,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\GoodsController.java,64,61,42,66,30,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\SearchController.java,52,47,48,63,43,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\BusinessException.java,57,51,35,42,37,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\DaoException.java,25,26,10,23,23,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\UnAuthenticatedException.java,52,26,26,34,37,,
trymall\trymall-api\src\main\java\com\linfeng\api\aspect\RepeatSubmitAspect.java,121,85,85,97,93,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallCourseMapper.java,52,44,35,45,31,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSystemMessageMapper.java,60,60,52,61,54,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\QiNiuUtil.java,46,51,33,54,29,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\MyMetaObjectHandler.java,151,146,120,173,141,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\MybatisPlusConfig.java,75,54,49,65,55,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSysConfigMapper.java,36,18,22,48,32,,
trymall\trymall-api\src\main\java\com\linfeng\api\ApiApplication.java,82,66,70,87,77,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\CorsConfig.java,65,51,51,65,61,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\InterceptorConfig.java,43,37,29,51,45,,
trymall\trymall-api\src\main\java\com\linfeng\api\config\ValidatorConfiguration.java,48,31,24,52,20,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\AuthController.java,221,219,242,227,238,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallAdminController.java,70,71,57,69,59,,
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AdminAuthCheck.java,217,253,201,214,207,,
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AuthCheckInterceptor.java,242,202,198,242,218,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\config\RedisConfig.java,228,222,240,262,243,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\BrandServiceImpl.java,57,47,39,67,42,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\QiNiuServiceImpl.java,69,63,55,66,65,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SystemConfigServiceImpl.java,40,33,33,50,50,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallIssueServiceImpl.java,54,47,41,48,29,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSearchhistoryServiceImpl.java,63,44,39,45,41,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSysConfigServiceImpl.java,48,55,42,49,27,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSystemMessageServiceImpl.java,47,23,29,35,33,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\jwt\JwtToken.java,141,128,118,147,118,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\ThrowableUtil.java,59,27,28,65,43,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestBrandService.java,41,27,25,29,18,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestIssueService.java,45,44,31,40,33,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSearchService.java,33,38,30,41,32,,
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSystemConfigService.java,28,21,16,27,32,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\system\SystemConfig.java,55,41,29,47,17,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallAdmin.java,47,28,23,34,17,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallIssue.java,33,15,10,24,19,,
trymall\trymall-common\src\main\java\com\linfeng\common\enums\SmsTypeEnum.java,56,34,30,56,26,,
trymall\trymall-common\src\main\java\com\linfeng\common\generation\CodeGeneration.java,92,89,78,98,93,,
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiCode.java,113,86,80,122,76,,
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallBannerMapper.java,50,36,31,35,24,,
,9745,8308,7799,9736,8255,,
,,,,,8768.6,avg per class,79.71454545
,,,,,2.435722222,,
,,,,,median,49,
